CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"299.07","300.58","299.07","299.40"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"16297.87"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"0.28","0.16","0.11","0.28"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"87.94"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"0.55","0.44","0.33","0.55"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"90.45"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"12.78","11.16","10.38","12.78"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"1.76"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"1.74"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"193.19"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"1.13"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"1.26"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"0.80"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"1.17"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"0.02"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"176.48"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"1075.79"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"217.24"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"35.33"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"207.86"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"1803.78"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"21.27"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"13.30"

"Evaluation Details for PostgreSQL, Version PostgreSQL 9.4.4 on x86_64-apple-darwin14.3.0, compiled by Apple LLVM version 6.1.0 (clang-602.0.53) (based on LLVM 3.6.0svn), 64-bit / 9.4-1201-jdbc41, Test Series SMALL"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"246.23"
Load,,"27151.81"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"187.91"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"2.53","1.16","0.49","2.53"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"193.49"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"2.88","1.85","1.53","2.88"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"186.93"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"4.97","4.00","4.01","4.97"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"80.62"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"51.24","41.04","35.30","51.24"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"96.21"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"58.11","41.83","30.32","58.11"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"99.40"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"67.38","50.25","40.30","67.38"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"218.90"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"54.93","46.10","40.83","54.93"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"219.27"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"54.15","44.40","36.61","54.15"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"213.19"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"54.68","46.88","43.04","54.68"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"159.15"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"142.50","130.40","122.09","142.50"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"111.25"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"958.00","1031.39","958.00","1050.21"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"339.09"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"143.39","128.86","119.93","143.39"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"176.48"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"10.81","8.33","7.07","10.81"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"71.64"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"6.83","5.92","5.27","6.83"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"71.29"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"7.38","6.65","6.13","7.38"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"9.37"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"680.37"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"138.84"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"4984.46"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"191.10"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"14700.13"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"10.33"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"20.84"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"165.19"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"2348.41"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"220.00"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"105.60"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"181.27"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"423.15"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"121.94"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"2.14"

"Evaluation Details for Virtuoso, Version 07.20.3214 / Virtuoso JDBC 4.1, Test Series SMALL"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"0.96"
Load,,"8227.13"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"2527.07"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"332.19","302.60","288.14","332.19"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"145.26"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"5248.02","5135.57","5097.25","5248.02"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"187.45"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"41561.66","40300.99","38294.44","41561.66"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"1.82"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"22.24","21.84","20.61","22.24"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"1.24"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"23.65","27.45","23.65","29.19"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"1.53"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"131.73","116.82","105.53","131.73"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"1.39"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"138.20","136.46","138.20","139.31"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"2.12"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"128.13","133.34","128.13","136.77"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"1.39"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"146.84","143.11","146.84","147.02"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"7.14"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"17287.27","16675.65","16243.25","17287.27"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"7.12"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"300090.78","299433.93","300090.78","300312.69"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"6.93"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"13460.39","13504.67","13460.39","13480.38"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"80.29"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"6.92","6.51","6.74","6.92"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"44.47"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"0.57","0.49","0.48","0.57"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"68.81"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"6.36","6.14","6.02","6.36"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"2.14"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"16271.80"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"191.79"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"489.95"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"5.32"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"91227.25"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"1.15"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"0.19"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"1.01"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"3837.52"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"1.45"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"328.60"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"Error"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"Error"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"883.94"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"11342.42"

"Evaluation Details for Fuseki, Version 2.3.0 2015-07-25T17:11:28+0000 / jena-libs 2.13.0, Test Series SMALL"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"0.00"
Load,,"30703.51"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"3077.42"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"75.06","36.11","17.45","75.06"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"2130.68"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"55.45","37.88","28.46","55.45"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"2606.01"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"156.88","136.14","128.16","156.88"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"0.95"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"203.57","124.42","95.49","203.57"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"0.47"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"85.41","84.95","79.16","85.41"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"0.35"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"451.81","465.43","382.54","451.81"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"0.37"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"197.67","166.13","167.52","197.67"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"0.38"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"146.01","150.49","142.53","146.01"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"0.41"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"109.60","116.57","109.60","126.39"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"0.33"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"7284.51","6831.94","6717.91","7284.51"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"Error"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"Error","Error","Error","Error"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"0.39"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"523812.98","445636.42","423103.58","523812.98"
